strategy,budget_pct,angles,ray_count,mse,ssim,cnr,inclusion_iou,localization_error_px,runtime_s
uniform_sparse,5,9,1440,0.012730270624160767,0.4156737596438223,3.2462923526763916,0.21678321678321677,56.36488268416781,0.00025891300003877404
random_sparse,5,9,1440,0.01764046587049961,0.4312843937275028,3.1312954425811768,0.2,68.60029154456998,0.00028259499998739557
adaptive,5,9,1440,0.0135799003764987,0.4063862391261586,3.874019145965576,0.3488372093023256,3.0,0.08383512699998619
uniform_sparse,10,18,2880,0.00424390472471714,0.5767082194685242,4.1182475090026855,0.3384615384615385,53.71219600798314,5.1126000016665785e-05
random_sparse,10,18,2880,0.008925555273890495,0.5654456595618672,2.49021053314209,0.23404255319148937,2.23606797749979,6.163900002320588e-05
adaptive,10,18,2880,0.004120548255741596,0.5595630585437299,3.583470106124878,0.3282442748091603,2.8284271247461903,0.09086648499999228
uniform_sparse,20,36,5760,0.0011647524079307914,0.7229289290734704,4.145592212677002,0.3488372093023256,2.8284271247461903,5.1594000012755714e-05
random_sparse,20,36,5760,0.0031366441398859024,0.6523258284557643,3.3507251739501953,0.3488372093023256,2.0,0.00016034099996886653
adaptive,20,36,5760,0.002064215252175927,0.7403818507160564,3.8657097816467285,0.3488372093023256,0.0,0.10890002500002538
uniform_sparse,40,72,11520,0.0005084465956315398,0.8597257541873341,4.217522621154785,0.3488372093023256,2.23606797749979,6.600000000389628e-05
random_sparse,40,72,11520,0.0015705657424405217,0.7640532071511901,3.711120367050171,0.3488372093023256,2.23606797749979,5.847200003472608e-05
adaptive,40,72,11520,0.0013168564764782786,0.8273887942035552,4.4218339920043945,0.3488372093023256,2.23606797749979,0.13451633699997956
uniform_sparse,100,180,28800,0.0003714612394105643,0.968693597344966,4.191088676452637,0.3488372093023256,2.23606797749979,0.00013629700004003098
random_sparse,100,180,28800,0.0003714612394105643,0.968693597344966,4.191088676452637,0.3488372093023256,2.23606797749979,0.0001569180000160486
adaptive,100,180,28800,0.0003714612394105643,0.968693597344966,4.191088676452637,0.3488372093023256,2.23606797749979,0.1875425160000077
dense_reference,100,180,28800,0.0003714612394105643,0.968693597344966,4.191088676452637,0.3488372093023256,2.23606797749979,0.0
